"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2501N0907887H","2025-03-17","B","appartement",38.7,"10b rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1005,1826.4,0,28.5,6.7,1005,1826.4,0,65.5,15.4,89.7,162.9,0,82,19.3,"existant"
"2501N0907882C","2025-03-17","B","appartement",49.4,"10a rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",2237.9,2063,0,36.3,8.5,2237.9,2063,0,83.5,19.6,199.6,184,0,104.5,24.6,"existant"
"2501N0884442O","2025-03-15","A","maison",139.4,"Rue de la Mairie 01390 Rancé","Électricité",1212.8,655.2,0,264.9,27.9,2789.4,1506.9,0,609.2,64.1,314,169,0,69,7,"existant"
"2501N0907885F","2025-03-17","B","appartement",66.4,"10b rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",2242.8,2281.1,0,48.8,11.5,2242.8,2281.1,0,112.2,26.4,200.1,203.5,0,140.6,33.1,"existant"
"2501N0782194Y","2025-03-06","C","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",715.6,1409.9,0,22.3,1.5,1645.9,1409.9,0,51.2,3.4,248.5,185,0,64.1,4.3,"existant"
"2501N0918748A","2025-03-17","C","appartement",75.5,"38 Boulevard des Epinettes 01220 Divonne-les-Bains","Gaz naturel",3785.5,1683.4,0,160.1,163.8,3800.5,1692,0,368.1,376.7,488.1,217.4,0,55.6,56.9,"existant"
"2501N0907884E","2025-03-17","B","appartement",90.4,"10a rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",3846.6,2580.6,0,66.5,15.6,3846.6,2580.6,0,152.9,36,343.1,230.2,0,191.4,45,"existant"
"2501N0781888E","2025-03-06","B","appartement",39.8,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",641.8,1588.6,0,29.1,1.9,1476.1,1588.6,0,66.9,4.5,222.8,208.4,0,83.8,5.6,"existant"
"2501N1003922Y","2025-03-23","A","maison",173.3,"Rue Rosset 01750 Replonges","Électricité",4089.9,589.2,675.9,329.3,0,5757,1355.2,1554.5,757.3,0,595,146,167,82,0,"existant"
"2501N0782033T","2025-03-06","B","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",490.7,1409.9,0,22.3,1.5,1128.7,1409.9,0,51.2,3.4,170.4,185,0,64.1,4.3,"existant"
